datetime,open,high,low,close,volume
2020-04-12 08:45:00,6844.0,6853.9,6837.8,6845.7,106.2757183
2016-12-26 02:30:00,902.94,903.21,902.01,902.01,83.53433725000001
2013-11-26 17:00:00,838.5,842.0,837.1,840.1,135.4994358
2020-08-14 01:00:00,11771.7,11774.8,11733.6,11765.0,29.27588114
2013-02-18 11:00:00,26.99,26.99,26.75,26.75,211.32768214
2013-04-17 02:45:00,72.3,74.94,66.11,73.16,236.90699572
2014-10-16 21:00:00,383.01,384.7,382.22,383.54,207.20648439
2016-06-21 15:00:00,669.02,672.07,667.04,671.1,129.38635320999998
2018-11-28 02:45:00,3814.1,3814.1,3800.1,3800.1,50.00117832
2012-05-22 13:15:00,5.07,5.07,5.07,5.07,76.5384615
2013-02-20 01:00:00,29.39,29.39,29.39,29.39,2.4810000000000003
2014-04-13 07:45:00,424.9,425.0,423.5,423.52,20.7615261
2019-03-15 00:15:00,3858.0,3858.3,3856.5,3856.9,9.31927209
2012-02-16 20:15:00,4.98,4.98,4.98,4.98,184.7590362
2013-05-26 04:45:00,129.12,129.14,128.21,128.21,19.42802988
2016-02-14 08:00:00,397.1,397.22,396.64,396.92,28.25673438
2017-10-25 22:15:00,5669.0,5670.0,5650.58,5664.33,23.85806055
2018-11-14 01:00:00,6257.1,6259.5,6257.1,6259.4,16.46241207
2020-08-16 07:00:00,11894.4,11896.7,11892.3,11896.1,5.02920806
2016-02-04 08:45:00,372.07,372.26,371.7,372.08,44.23955086
2019-09-05 11:15:00,10609.7,10615.0,10575.2,10589.4,69.72268159000001
2012-07-14 21:45:00,7.56,7.58,7.56,7.58,372.89554078
2020-08-07 02:15:00,11873.5,11910.0,11873.3,11888.5,68.97545779000001
2013-08-16 12:30:00,96.75,97.35,96.5,97.35,232.92675265000003
2017-10-11 11:15:00,4810.16,4813.99,4798.0,4807.99,57.82998864
2015-01-19 14:00:00,211.27,211.57,209.14,211.46,118.32403267
2014-07-24 06:45:00,621.49,621.5,619.09,621.5,9.18782123
2018-11-02 17:30:00,6353.4,6359.6,6353.3,6357.3,9.37963303
2014-10-29 16:45:00,342.47,344.22,341.7,341.85,236.43715614
2018-12-04 00:00:00,3832.7,3842.4,3798.0,3831.9,316.30069041
2014-03-23 04:15:00,565.35,568.16,560.98,566.18,43.64615
2017-10-30 18:30:00,6126.0,6129.74,6100.5,6118.58,55.38957408
2013-08-21 21:15:00,112.78,112.8,111.54,112.15,172.36137844
2019-02-02 02:00:00,3428.9,3434.0,3428.7,3434.0,9.28140922
2019-12-08 07:15:00,7454.2,7464.8,7454.2,7464.8,2.71222374
2013-03-28 18:15:00,95.97,95.97,95.03,95.96,8.46451654
2012-04-18 20:30:00,5.11,5.16,5.11,5.16,362.2674418
2012-04-12 16:15:00,4.85,4.85,4.84,4.84,200.28681335
2019-06-28 01:00:00,11468.6,11533.0,11200.9,11454.1,315.83362351
2012-08-10 06:15:00,11.11,11.11,11.11,11.11,196.8644526
2019-02-21 06:00:00,3949.3,3986.0,3919.8,3924.6,486.5155849
2016-02-19 06:15:00,418.44,419.41,418.43,418.94,11.23766313
2014-06-04 21:00:00,649.34,649.9,647.1,649.75,227.44440183
2014-06-01 14:30:00,659.18,659.91,649.9,654.04,347.93655105
2014-11-22 02:30:00,355.4,355.4,354.71,354.71,1.17169817
2015-03-10 17:00:00,291.52,292.76,291.12,292.22,91.3580586
2015-01-30 03:00:00,236.08,237.0,234.14,234.14,126.4446944
2016-10-31 08:30:00,697.88,697.94,694.7,697.8,15.35771913
2012-02-11 23:30:00,5.5,5.5,5.5,5.5,25.5
2014-02-23 14:00:00,623.59,627.65,623.59,625.6,60.256503300000006
2018-11-12 16:45:00,6339.6,6339.9,6339.6,6339.9,8.306745820000002
2018-08-28 23:30:00,7105.1,7115.9,7100.0,7107.9,40.079215180000006
2016-07-19 18:45:00,669.11,669.41,668.69,669.41,56.19236533
2013-08-13 16:45:00,96.35,96.37,96.1,96.35,63.44508935
2013-02-15 02:30:00,27.09,27.09,27.09,27.09,11.9928846
2021-02-26 21:45:00,46449.6,46449.6,45500.0,45666.7,172.09111092
2017-07-13 00:15:00,2389.0,2396.36,2376.13,2394.57,111.02875651
2017-04-14 17:00:00,1178.8,1179.77,1176.72,1179.77,50.04086481
2020-07-23 23:15:00,9597.6,9612.6,9597.6,9612.5,11.70233286
2014-01-09 05:00:00,828.91,829.99,824.11,826.14,75.63476968
2015-10-21 18:30:00,268.37,268.63,268.21,268.21,80.04723
2019-10-13 20:00:00,8444.5,8446.5,8251.0,8288.6,309.56016277
2018-10-15 10:15:00,6407.7,6407.7,6397.9,6398.4,22.7324175
2020-05-08 10:15:00,9870.6,9905.9,9870.5,9903.6,18.70523943
2012-09-14 16:30:00,11.46,11.46,11.46,11.46,1080.0
2013-04-06 00:15:00,142.16,142.16,141.4,142.0,66.96784042
2018-06-26 04:45:00,6250.5,6250.5,6237.2,6240.0,0.87412049
2016-12-14 02:00:00,774.52,775.19,773.89,775.19,18.02625061
2013-02-16 19:45:00,27.44,27.44,27.44,27.44,43.43294465
2012-04-25 09:00:00,5.12,5.12,5.12,5.12,89.28419415
2012-01-19 13:30:00,6.09,6.09,6.09,6.09,446.5266132
2018-02-28 16:45:00,10450.0,10460.0,10400.0,10400.0,53.66058967
2014-02-12 16:15:00,665.05,676.0,665.05,671.08,498.12395994
2019-03-19 01:45:00,3976.6,3976.8,3973.9,3974.1,7.85453815
2015-05-11 22:00:00,241.55,241.94,240.9,241.61,156.54162467
2019-11-19 19:45:00,8098.6,8098.6,8089.9,8089.9,48.54007357
2018-09-07 07:30:00,6474.4,6482.8,6474.3,6478.7,8.30644542
2017-05-18 21:15:00,1874.44,1874.45,1868.78,1873.79,40.27344298
2021-01-07 12:30:00,38008.1,38100.0,37850.5,38023.2,71.44906872000001
